,Age,Gender,Tenure,Usage Frequency,Support Calls,Subscription Type,Contract Length,Total Spend,Churn,predicted,correct
603,42,Male,33,15,7,Premium,Annual,489,0,1,False
617,47,Female,42,13,0,Basic,Monthly,581,0,1,False
625,60,Male,54,11,6,Basic,Monthly,671,0,1,False
627,46,Female,42,27,1,Basic,Monthly,387,0,1,False
631,22,Female,27,16,8,Premium,Quarterly,380,0,1,False
636,47,Female,39,12,7,Premium,Quarterly,101,0,1,False
639,56,Female,25,4,2,Standard,Monthly,603,1,0,False
645,34,Female,36,27,8,Premium,Monthly,617,0,1,False
648,35,Female,10,5,2,Premium,Quarterly,119,0,1,False
649,37,Male,26,9,6,Basic,Annual,921,0,1,False
656,48,Male,33,30,6,Basic,Annual,270,0,1,False
659,53,Female,28,21,4,Standard,Quarterly,474,0,1,False
667,60,Male,38,26,10,Premium,Monthly,666,0,1,False
673,37,Female,28,20,10,Standard,Quarterly,810,0,1,False
679,25,Female,10,5,8,Standard,Monthly,156,0,1,False
689,34,Female,7,29,3,Standard,Monthly,501,0,1,False
703,41,Female,12,27,2,Basic,Monthly,984,0,1,False
706,45,Male,25,6,7,Basic,Quarterly,957,0,1,False
718,40,Male,59,10,8,Basic,Quarterly,948,0,1,False
723,56,Female,54,24,2,Basic,Monthly,441,0,1,False
736,23,Male,54,29,8,Premium,Annual,137,0,1,False
738,59,Male,47,6,9,Premium,Quarterly,683,0,1,False
740,22,Male,27,19,9,Standard,Quarterly,990,0,1,False
745,55,Female,31,25,5,Basic,Monthly,763,0,1,False
763,49,Female,3,4,0,Standard,Quarterly,326,0,1,False
778,57,Female,56,14,5,Basic,Monthly,176,0,1,False
792,38,Female,58,1,8,Premium,Monthly,290,0,1,False
796,35,Female,44,15,5,Premium,Monthly,493,0,1,False
811,47,Female,4,12,6,Standard,Annual,245,1,0,False
812,55,Female,45,12,2,Standard,Annual,143,1,0,False
817,35,Female,31,22,4,Basic,Annual,164,1,0,False
821,31,Male,44,9,5,Standard,Quarterly,148,0,1,False
826,29,Female,53,1,8,Standard,Quarterly,354,0,1,False
838,35,Male,57,6,8,Standard,Quarterly,857,0,1,False
839,36,Female,45,16,3,Basic,Quarterly,456,1,0,False
842,20,Female,32,28,7,Basic,Quarterly,675,0,1,False
876,56,Male,38,14,8,Premium,Monthly,607,0,1,False
888,21,Male,25,19,8,Basic,Annual,807,0,1,False
911,32,Female,45,19,2,Basic,Quarterly,315,0,1,False
912,28,Female,27,12,5,Premium,Quarterly,921,0,1,False
920,54,Female,36,20,3,Standard,Quarterly,258,0,1,False
922,38,Male,38,9,6,Premium,Monthly,490,0,1,False
930,61,Male,30,17,7,Basic,Quarterly,254,0,1,False
933,53,Female,31,22,7,Standard,Quarterly,193,0,1,False
936,37,Female,29,16,8,Basic,Monthly,674,0,1,False
944,61,Male,48,24,9,Premium,Quarterly,721,0,1,False
968,21,Female,32,3,4,Basic,Monthly,449,0,1,False
972,34,Female,45,22,8,Premium,Annual,953,0,1,False
988,34,Female,54,18,6,Basic,Quarterly,120,0,1,False
991,33,Female,41,10,5,Basic,Annual,142,0,1,False
998,62,Male,36,12,8,Premium,Annual,900,0,1,False
1001,37,Male,44,17,6,Standard,Quarterly,640,0,1,False
1007,57,Female,16,11,1,Standard,Quarterly,204,1,0,False
1014,41,Female,39,12,10,Basic,Annual,645,0,1,False
1016,61,Male,59,10,10,Premium,Quarterly,806,0,1,False
1027,21,Female,3,11,5,Standard,Annual,171,0,1,False
1028,39,Female,22,10,2,Standard,Quarterly,195,1,0,False
1029,31,Female,33,17,8,Basic,Monthly,347,0,1,False
1059,59,Female,58,30,5,Premium,Annual,835,0,1,False
1060,53,Female,56,22,7,Standard,Annual,289,0,1,False
1061,56,Male,26,18,8,Basic,Quarterly,662,0,1,False
1067,55,Male,56,30,8,Standard,Quarterly,550,0,1,False
1079,32,Female,30,12,8,Standard,Annual,552,0,1,False
1081,50,Male,39,29,5,Standard,Annual,574,0,1,False
1090,29,Female,35,14,2,Basic,Annual,312,1,0,False
1119,22,Male,33,18,8,Basic,Quarterly,706,0,1,False
1127,19,Male,28,12,8,Premium,Quarterly,457,0,1,False
1136,32,Male,55,11,6,Basic,Quarterly,241,0,1,False
1150,64,Male,49,15,9,Standard,Monthly,660,0,1,False
1158,23,Female,14,11,9,Basic,Monthly,445,0,1,False
1172,30,Female,44,7,9,Standard,Annual,503,0,1,False
1175,42,Female,30,15,1,Standard,Monthly,715,0,1,False
1191,56,Female,43,10,10,Premium,Annual,238,0,1,False
1201,54,Female,14,13,5,Premium,Monthly,919,1,0,False
1208,27,Female,28,3,8,Standard,Monthly,403,0,1,False
1243,18,Male,59,29,10,Basic,Annual,283,0,1,False
1246,24,Female,58,9,5,Standard,Annual,909,0,1,False
1258,28,Female,33,26,9,Premium,Annual,392,0,1,False
1260,54,Female,22,14,4,Premium,Monthly,342,0,1,False
1268,52,Male,40,26,6,Basic,Monthly,860,0,1,False
1269,35,Female,7,24,5,Basic,Monthly,254,1,0,False
1271,56,Female,41,18,8,Premium,Annual,668,1,0,False
1287,30,Female,12,24,6,Basic,Monthly,981,1,0,False
1295,19,Male,53,17,8,Basic,Monthly,787,0,1,False
1297,53,Female,52,10,10,Premium,Monthly,160,0,1,False
1300,20,Female,16,20,4,Standard,Annual,418,1,0,False
1301,62,Male,30,26,9,Standard,Monthly,241,0,1,False
1314,38,Male,43,10,8,Standard,Annual,332,0,1,False
1320,18,Male,36,18,7,Standard,Monthly,635,0,1,False
1321,48,Female,58,16,1,Standard,Quarterly,231,0,1,False
1330,41,Male,52,4,6,Standard,Annual,793,0,1,False
1335,64,Female,3,14,7,Basic,Monthly,337,1,0,False
1346,45,Female,10,14,5,Basic,Monthly,626,1,0,False
1349,58,Female,53,27,8,Standard,Monthly,813,0,1,False
1379,34,Female,37,30,7,Standard,Annual,433,0,1,False
1384,64,Female,8,28,1,Basic,Monthly,110,0,1,False
1386,54,Female,14,19,8,Standard,Annual,409,1,0,False
1392,35,Male,35,15,6,Standard,Monthly,163,0,1,False
1393,36,Female,18,5,4,Standard,Quarterly,264,0,1,False
1395,40,Male,4,3,3,Basic,Monthly,105,1,0,False
1402,23,Female,31,15,6,Basic,Quarterly,705,0,1,False
1424,22,Female,54,25,5,Premium,Quarterly,269,0,1,False
1432,21,Male,45,9,10,Standard,Monthly,585,0,1,False
1433,28,Male,47,25,10,Basic,Quarterly,399,0,1,False
1434,24,Female,36,7,4,Premium,Monthly,634,0,1,False
1448,30,Male,38,26,6,Standard,Quarterly,209,0,1,False
1450,65,Female,47,25,8,Basic,Quarterly,935,0,1,False
1463,52,Female,59,30,8,Basic,Quarterly,449,0,1,False
1465,30,Female,47,29,4,Standard,Annual,136,1,0,False
1471,23,Male,30,26,10,Standard,Monthly,583,0,1,False
1472,37,Male,55,8,8,Standard,Monthly,561,0,1,False
1474,57,Female,8,9,6,Basic,Annual,328,1,0,False
1489,62,Male,33,30,10,Standard,Monthly,358,0,1,False
1496,21,Male,40,16,5,Premium,Monthly,574,0,1,False
1500,55,Female,49,9,10,Basic,Annual,302,0,1,False
1515,38,Female,50,15,2,Standard,Quarterly,216,1,0,False
1524,43,Female,58,23,1,Standard,Monthly,108,0,1,False
1526,51,Female,32,28,10,Standard,Monthly,972,0,1,False
1561,40,Female,56,19,4,Premium,Annual,288,1,0,False
1576,38,Female,38,16,4,Premium,Monthly,310,1,0,False
1577,59,Male,51,30,7,Premium,Quarterly,983,0,1,False
1594,38,Female,58,6,5,Standard,Annual,526,0,1,False
1625,64,Male,25,6,6,Basic,Annual,788,0,1,False
1631,29,Female,39,19,6,Standard,Annual,386,0,1,False
1650,35,Male,56,8,10,Standard,Quarterly,669,0,1,False
1651,63,Female,5,22,8,Basic,Quarterly,217,1,0,False
1664,38,Male,51,28,5,Premium,Annual,209,0,1,False
1667,18,Male,39,23,7,Basic,Monthly,713,0,1,False
1675,47,Female,45,9,9,Premium,Monthly,880,0,1,False
1680,25,Female,26,21,0,Premium,Annual,272,1,0,False
1684,56,Male,33,21,9,Standard,Quarterly,453,0,1,False
1687,47,Female,4,4,1,Premium,Monthly,537,0,1,False
1712,40,Female,58,2,6,Premium,Monthly,118,0,1,False
1722,42,Female,51,30,5,Premium,Monthly,231,0,1,False
1733,54,Male,44,13,10,Premium,Annual,195,0,1,False
1743,50,Male,53,23,6,Standard,Annual,537,0,1,False
1747,52,Female,49,28,8,Basic,Annual,449,0,1,False
1749,38,Male,33,13,6,Basic,Annual,288,0,1,False
1776,21,Male,33,15,6,Premium,Annual,887,0,1,False
1784,35,Female,17,2,10,Premium,Monthly,861,0,1,False
1799,55,Female,45,29,9,Standard,Quarterly,544,0,1,False
1810,19,Male,60,22,8,Premium,Quarterly,554,0,1,False
1817,56,Female,37,25,8,Basic,Annual,988,0,1,False
1819,45,Male,33,11,5,Premium,Annual,473,0,1,False
1822,33,Male,38,23,8,Standard,Annual,615,0,1,False
1824,62,Female,40,8,8,Basic,Annual,742,0,1,False
1862,45,Female,47,13,6,Standard,Quarterly,490,0,1,False
1880,29,Male,35,14,10,Premium,Monthly,185,0,1,False
1890,23,Female,11,4,9,Premium,Monthly,693,0,1,False
1901,25,Female,24,15,10,Premium,Annual,790,0,1,False
1914,25,Female,28,4,6,Basic,Annual,487,0,1,False
1926,59,Female,47,29,2,Premium,Monthly,805,0,1,False
1927,29,Male,29,16,10,Standard,Monthly,813,0,1,False
1929,19,Female,23,17,10,Standard,Monthly,942,0,1,False
1950,47,Female,21,15,9,Basic,Monthly,828,0,1,False
1952,61,Male,49,10,6,Premium,Annual,254,0,1,False
1958,45,Male,42,8,5,Premium,Quarterly,866,0,1,False
1965,42,Male,36,8,5,Basic,Monthly,533,0,1,False
1981,21,Female,33,3,9,Basic,Monthly,427,0,1,False
1984,52,Female,21,20,1,Premium,Monthly,991,0,1,False
1994,61,Female,41,7,5,Standard,Quarterly,477,0,1,False
2007,55,Female,31,15,5,Standard,Quarterly,115,0,1,False
2008,49,Male,26,2,7,Basic,Monthly,835,0,1,False
2009,37,Female,27,19,7,Basic,Monthly,365,0,1,False
2020,46,Female,5,22,2,Basic,Annual,122,0,1,False
2024,27,Male,53,10,5,Premium,Monthly,512,0,1,False
2028,42,Female,53,8,2,Premium,Monthly,385,0,1,False
2035,26,Male,36,2,10,Standard,Monthly,413,0,1,False
2040,58,Female,53,17,2,Basic,Monthly,383,0,1,False
2060,35,Female,40,24,6,Standard,Quarterly,969,0,1,False
2068,56,Male,31,6,10,Premium,Annual,384,0,1,False
2070,30,Male,56,18,7,Basic,Annual,265,0,1,False
2072,48,Male,59,19,10,Basic,Annual,781,0,1,False
2086,37,Female,46,9,1,Basic,Monthly,239,1,0,False
2088,31,Female,52,11,3,Standard,Quarterly,467,0,1,False
2096,27,Male,38,30,8,Standard,Quarterly,866,0,1,False
2099,49,Female,41,11,5,Premium,Monthly,893,0,1,False
2124,47,Female,59,17,9,Premium,Monthly,198,0,1,False
2134,24,Male,44,6,6,Premium,Quarterly,977,0,1,False
2145,65,Female,5,8,0,Basic,Annual,322,1,0,False
2178,36,Female,56,22,7,Basic,Annual,537,0,1,False
2180,24,Male,49,3,10,Premium,Quarterly,701,0,1,False
2183,32,Male,56,1,9,Standard,Annual,634,0,1,False
2190,33,Male,26,19,5,Premium,Quarterly,661,0,1,False
2216,38,Male,40,13,10,Standard,Quarterly,867,0,1,False
2234,47,Female,30,11,10,Standard,Quarterly,168,0,1,False
2235,40,Female,51,6,5,Premium,Monthly,201,0,1,False
2240,44,Female,56,19,6,Standard,Monthly,479,0,1,False
2272,54,Female,5,14,0,Premium,Monthly,480,0,1,False
2274,39,Female,23,27,2,Standard,Monthly,110,0,1,False
2279,59,Female,13,11,4,Standard,Monthly,489,0,1,False
2287,36,Male,53,25,5,Basic,Quarterly,647,0,1,False
2289,20,Male,39,9,9,Premium,Quarterly,627,0,1,False
2298,28,Female,37,21,1,Basic,Annual,220,1,0,False
2318,20,Male,25,14,10,Premium,Annual,535,0,1,False
2345,24,Female,47,11,3,Standard,Monthly,175,0,1,False
2349,48,Female,5,24,0,Premium,Annual,437,0,1,False
2377,41,Female,15,27,6,Premium,Quarterly,308,0,1,False
2407,27,Female,57,24,10,Basic,Monthly,592,0,1,False
2409,27,Female,45,2,6,Premium,Monthly,920,0,1,False
2412,52,Male,36,14,6,Premium,Quarterly,272,0,1,False
2418,62,Male,33,19,10,Basic,Annual,424,0,1,False
2421,37,Female,31,21,10,Standard,Quarterly,464,0,1,False
2426,36,Male,38,27,5,Standard,Quarterly,325,1,0,False
2429,65,Female,24,13,5,Basic,Annual,675,0,1,False
2430,33,Female,40,9,5,Premium,Monthly,483,0,1,False
2436,34,Female,49,15,9,Basic,Annual,594,0,1,False
2462,50,Female,42,20,0,Basic,Annual,149,0,1,False
2464,27,Male,51,1,9,Basic,Monthly,164,0,1,False
2465,25,Female,10,20,1,Basic,Monthly,775,1,0,False
2477,38,Female,46,3,7,Basic,Quarterly,446,0,1,False
2493,63,Male,34,13,9,Standard,Quarterly,416,0,1,False
2496,65,Female,4,17,1,Premium,Annual,393,1,0,False
2503,41,Male,30,25,9,Standard,Quarterly,811,0,1,False
2506,31,Female,6,29,5,Standard,Monthly,130,0,1,False
2513,25,Female,35,15,6,Premium,Monthly,617,0,1,False
2534,31,Female,18,10,6,Premium,Quarterly,393,1,0,False
2540,49,Female,40,27,10,Standard,Annual,488,1,0,False
2544,50,Female,60,13,4,Basic,Quarterly,354,0,1,False
2545,32,Male,60,21,9,Basic,Annual,339,0,1,False
2547,21,Male,38,24,9,Standard,Monthly,802,0,1,False
2556,59,Male,48,18,10,Standard,Quarterly,122,0,1,False
2565,44,Female,31,19,8,Basic,Quarterly,509,0,1,False
2574,24,Female,25,16,9,Premium,Annual,677,0,1,False
2582,30,Female,32,7,1,Standard,Monthly,545,1,0,False
2585,19,Male,44,23,9,Basic,Quarterly,872,0,1,False
2587,26,Female,56,17,9,Standard,Annual,228,0,1,False
2596,51,Female,57,21,3,Premium,Monthly,471,0,1,False
2607,36,Female,39,29,5,Basic,Monthly,809,1,0,False
2614,53,Male,35,29,9,Standard,Quarterly,142,0,1,False
2618,33,Male,50,28,6,Standard,Annual,798,0,1,False
2633,19,Male,51,7,5,Premium,Annual,887,0,1,False
2634,36,Female,42,9,1,Premium,Monthly,349,0,1,False
2639,35,Female,57,4,3,Basic,Monthly,370,0,1,False
2642,22,Male,57,27,8,Premium,Monthly,385,0,1,False
2645,62,Female,43,17,0,Basic,Monthly,285,0,1,False
2647,65,Male,37,26,7,Basic,Quarterly,752,0,1,False
2649,43,Male,32,3,8,Basic,Monthly,474,0,1,False
2650,64,Male,56,14,10,Basic,Monthly,581,0,1,False
2652,42,Female,44,24,0,Premium,Quarterly,338,0,1,False
2678,54,Male,32,15,7,Basic,Quarterly,487,0,1,False
2684,20,Female,16,23,2,Premium,Annual,469,0,1,False
2688,45,Female,60,24,6,Standard,Monthly,341,0,1,False
2706,58,Male,31,16,10,Premium,Quarterly,526,0,1,False
2707,55,Female,48,28,9,Standard,Annual,196,0,1,False
2714,51,Female,54,21,10,Basic,Annual,620,0,1,False
2719,21,Female,33,26,9,Standard,Annual,900,0,1,False
2733,61,Female,28,23,9,Standard,Quarterly,858,0,1,False
2735,30,Male,51,19,9,Basic,Quarterly,232,0,1,False
2739,46,Male,43,5,6,Standard,Monthly,717,0,1,False
2741,32,Female,57,13,1,Standard,Monthly,594,1,0,False
2743,23,Female,55,4,10,Standard,Monthly,738,0,1,False
2751,44,Male,33,3,9,Standard,Quarterly,230,0,1,False
2755,28,Female,53,28,6,Premium,Monthly,468,0,1,False
2757,26,Female,44,24,2,Basic,Monthly,166,1,0,False
2762,58,Female,50,2,3,Standard,Annual,379,0,1,False
2765,28,Female,22,28,7,Premium,Quarterly,261,1,0,False
2768,37,Male,30,7,6,Basic,Annual,248,0,1,False
2771,52,Male,57,18,8,Standard,Annual,673,0,1,False
2780,52,Female,32,8,7,Standard,Annual,672,0,1,False
2784,28,Male,24,15,10,Premium,Annual,454,0,1,False
2789,40,Female,30,11,8,Premium,Quarterly,511,0,1,False
2797,28,Female,33,25,8,Premium,Annual,118,0,1,False
2801,55,Female,48,6,4,Premium,Monthly,681,0,1,False
2804,34,Male,34,20,9,Standard,Annual,425,0,1,False
2818,29,Male,58,19,7,Standard,Monthly,916,0,1,False
2822,60,Female,56,22,0,Basic,Monthly,574,1,0,False
2828,31,Male,36,3,10,Basic,Quarterly,816,0,1,False
2830,19,Female,31,24,5,Premium,Annual,880,0,1,False
2836,21,Female,10,5,10,Premium,Monthly,357,0,1,False
2840,18,Female,57,8,7,Standard,Monthly,650,0,1,False
2857,47,Female,21,27,1,Basic,Annual,248,0,1,False
2858,51,Female,33,14,10,Premium,Monthly,672,0,1,False
2860,60,Female,59,19,8,Premium,Monthly,140,0,1,False
2865,43,Male,50,19,5,Basic,Quarterly,660,0,1,False
2882,29,Female,7,25,9,Premium,Monthly,753,1,0,False
2900,19,Female,14,28,8,Basic,Annual,314,0,1,False
2917,41,Male,57,3,7,Premium,Monthly,628,0,1,False
2926,47,Female,55,7,0,Premium,Monthly,716,0,1,False
2931,42,Female,57,22,8,Basic,Annual,293,0,1,False
2946,49,Female,16,13,5,Premium,Quarterly,111,0,1,False
2955,36,Female,12,27,0,Premium,Monthly,667,1,0,False
2957,25,Female,52,11,8,Basic,Monthly,225,0,1,False
2992,24,Female,44,13,10,Premium,Quarterly,428,0,1,False
2994,50,Male,58,28,9,Standard,Quarterly,179,0,1,False
2997,34,Male,32,16,6,Standard,Monthly,943,0,1,False
3000,54,Male,45,23,7,Premium,Monthly,800,0,1,False
3005,53,Female,32,28,2,Standard,Annual,121,1,0,False
3010,22,Male,33,7,9,Premium,Quarterly,226,0,1,False
3024,39,Female,44,24,0,Standard,Quarterly,332,0,1,False
3027,47,Female,43,13,6,Standard,Monthly,796,0,1,False
3041,55,Female,39,19,7,Premium,Annual,559,0,1,False
3047,34,Female,37,23,6,Premium,Quarterly,192,0,1,False
3052,27,Female,31,13,7,Basic,Quarterly,144,0,1,False
3055,30,Male,32,19,7,Basic,Annual,669,0,1,False
3056,26,Female,48,4,6,Standard,Monthly,541,0,1,False
3073,54,Male,53,14,8,Standard,Quarterly,373,0,1,False
3078,61,Female,6,16,0,Standard,Annual,344,1,0,False
3080,33,Female,53,17,10,Basic,Quarterly,729,0,1,False
3085,24,Male,37,2,9,Basic,Quarterly,284,0,1,False
3094,50,Female,34,28,7,Standard,Monthly,810,0,1,False
3110,25,Female,31,18,9,Basic,Quarterly,934,0,1,False
3122,19,Male,26,14,6,Standard,Quarterly,988,0,1,False
3134,58,Male,33,25,6,Basic,Quarterly,132,0,1,False
3141,64,Male,56,29,7,Basic,Monthly,840,0,1,False
3145,36,Female,56,15,10,Basic,Annual,192,0,1,False
3146,59,Male,53,12,9,Standard,Annual,158,0,1,False
3167,37,Female,45,9,3,Standard,Monthly,133,0,1,False
3182,29,Female,14,26,9,Premium,Monthly,157,0,1,False
3183,62,Male,58,16,10,Premium,Quarterly,928,0,1,False
3196,60,Female,59,26,5,Premium,Annual,614,0,1,False
3219,59,Female,34,13,2,Premium,Quarterly,104,0,1,False
3232,20,Female,22,13,3,Premium,Monthly,957,1,0,False
3234,43,Female,55,24,7,Basic,Monthly,363,0,1,False
3242,38,Female,43,11,2,Premium,Monthly,721,0,1,False
3262,44,Female,58,12,8,Premium,Annual,454,0,1,False
3275,30,Male,57,6,6,Standard,Monthly,802,0,1,False
3276,32,Female,56,27,2,Premium,Quarterly,391,0,1,False
3279,55,Female,36,14,7,Premium,Quarterly,506,0,1,False
3287,44,Female,55,2,8,Premium,Annual,428,1,0,False
3293,47,Female,54,3,6,Basic,Annual,357,0,1,False
3294,53,Female,42,23,2,Basic,Quarterly,205,0,1,False
3301,34,Male,45,30,9,Standard,Annual,885,0,1,False
3303,43,Female,7,18,10,Standard,Monthly,740,0,1,False
3305,18,Female,57,20,3,Premium,Monthly,344,0,1,False
3307,60,Female,2,27,9,Basic,Quarterly,437,1,0,False
3324,50,Male,26,17,6,Basic,Annual,186,0,1,False
3338,31,Female,28,4,7,Standard,Quarterly,783,0,1,False
3346,19,Male,47,29,7,Premium,Annual,775,0,1,False
3351,38,Female,19,2,3,Basic,Quarterly,234,0,1,False
3372,52,Female,48,22,7,Standard,Quarterly,592,0,1,False
3375,25,Female,31,22,4,Premium,Annual,116,1,0,False
3385,61,Female,8,22,1,Premium,Annual,260,1,0,False
3405,39,Female,4,5,2,Premium,Quarterly,411,0,1,False
3417,51,Female,11,8,7,Basic,Monthly,649,0,1,False
3426,61,Female,42,11,2,Basic,Monthly,483,0,1,False
3427,42,Female,59,25,6,Standard,Quarterly,121,0,1,False
3439,49,Female,27,9,8,Premium,Annual,582,0,1,False
3448,18,Male,41,8,5,Basic,Monthly,649,0,1,False
3454,56,Female,6,22,6,Basic,Monthly,665,0,1,False
3465,24,Male,49,19,10,Standard,Annual,492,0,1,False
3477,39,Female,58,3,9,Standard,Monthly,311,0,1,False
3500,29,Female,37,10,9,Premium,Quarterly,276,0,1,False
3504,27,Female,25,28,7,Premium,Monthly,155,0,1,False
3510,18,Female,29,7,7,Premium,Annual,444,0,1,False
3514,24,Female,41,26,10,Basic,Monthly,485,0,1,False
3526,42,Male,29,11,8,Premium,Quarterly,394,0,1,False
3538,25,Female,45,7,3,Premium,Monthly,610,0,1,False
3543,38,Female,53,3,9,Standard,Monthly,458,0,1,False
3554,26,Male,33,21,6,Basic,Annual,423,0,1,False
3576,43,Male,38,27,10,Premium,Monthly,181,0,1,False
3599,64,Female,23,11,7,Standard,Monthly,930,0,1,False
3603,38,Female,48,19,1,Standard,Quarterly,343,0,1,False
3616,63,Female,16,20,10,Premium,Quarterly,477,0,1,False
3643,40,Female,60,19,5,Standard,Monthly,406,0,1,False
3657,61,Female,18,15,5,Premium,Quarterly,437,0,1,False
3658,49,Male,56,15,6,Basic,Annual,694,0,1,False
3665,59,Male,31,24,5,Standard,Quarterly,399,0,1,False
3666,63,Female,1,21,6,Basic,Quarterly,135,0,1,False
3669,19,Male,32,18,7,Basic,Quarterly,494,0,1,False
3674,63,Male,39,20,9,Basic,Monthly,587,1,0,False
3691,52,Female,38,23,5,Premium,Monthly,349,0,1,False
3693,35,Male,37,10,6,Premium,Annual,644,0,1,False
3694,39,Male,60,16,5,Standard,Quarterly,585,0,1,False
3696,19,Male,55,10,10,Basic,Annual,587,0,1,False
3700,44,Female,50,12,7,Basic,Quarterly,260,1,0,False
3701,35,Male,24,4,10,Premium,Quarterly,450,0,1,False
3717,38,Male,35,20,5,Premium,Monthly,188,0,1,False
3718,30,Female,29,9,10,Basic,Monthly,910,0,1,False
3720,35,Male,50,16,10,Premium,Quarterly,339,0,1,False
3721,60,Male,40,19,5,Standard,Annual,123,0,1,False
3751,55,Male,52,7,7,Premium,Monthly,156,0,1,False
3759,56,Female,42,8,9,Standard,Monthly,514,1,0,False
3785,25,Female,51,15,6,Basic,Quarterly,631,0,1,False
3792,44,Female,18,21,4,Basic,Monthly,363,1,0,False
3799,23,Female,45,25,2,Basic,Quarterly,222,0,1,False
3810,60,Male,41,23,7,Premium,Annual,879,0,1,False
3815,23,Male,52,15,6,Premium,Quarterly,320,0,1,False
3816,49,Female,49,16,8,Premium,Quarterly,700,0,1,False
3824,50,Male,60,30,6,Basic,Annual,555,0,1,False
3826,39,Female,54,19,9,Premium,Quarterly,188,0,1,False
3841,44,Male,32,6,7,Standard,Quarterly,524,0,1,False
3844,31,Female,40,23,6,Premium,Monthly,605,0,1,False
3864,41,Female,31,22,8,Premium,Monthly,608,0,1,False
